id,timestamp,target,mode,steps,passes,colors,opacity,drive_teeth,x_arm_gears,y_arm_gears,table_teeth,speed,line_width,width,height,background,notes,svg_file,png_file
52,2026-03-29T19:30:57.494Z,gandy-1.jpg,spiral,60000,3,#d81b60;#1565c0;#ff6f00,0.7,20,spiral: g=1.8 + A40/f5/φ0.00 + A20/f3.17/φ0.00,—,0,0.015,0.5,1200,1200,#faf9f6,,exp-0052.svg,exp-0052.png
53,2026-03-29T19:33:45.240Z,gandy-1.jpg,spiral,80000,3,#d81b60;#1565c0;#ff6f00,0.55,20,spiral: g=0.3 + A25/f5/φ0.00 + A12/f1.7320508075688772/φ0.00,—,0,0.015,0.4,1200,1200,#faf9f6,,exp-0053.svg,exp-0053.png
54,2026-03-29T19:34:19.163Z,gandy-1.jpg,spiral,60000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.08 + A30/f6/φ0.00 + A15/f2.23606797749979/φ0.00,—,0,0.02,0.35,1200,1200,#faf9f6,,exp-0054.svg,exp-0054.png
55,2026-03-29T19:36:26.241Z,gandy-1.jpg,spiral,60000,3,#d81b60;#1565c0;#ff6f00,0.6,20,spiral: g=0.05 + A20/f5/φ0.00 + A10/f2.23606797749979/φ0.00,—,0,0.02,0.35,1200,1200,#faf9f6,,exp-0055.svg,exp-0055.png
56,2026-03-29T19:37:06.711Z,gandy-1.jpg,spiral,120000,3,#d81b60;#1565c0;#ff6f00,0.5,20,spiral: g=0.012 + A18/f7/φ0.00 + A8/f2.23606797749979/φ0.00,—,0,0.02,0.3,1200,1200,#faf9f6,,exp-0056.svg,exp-0056.png
57,2026-03-29T19:39:16.504Z,gandy-1.jpg,spiral,30000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.03 + A18/f7/φ0.00 + A8/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0057.svg,exp-0057.png
58,2026-03-29T19:40:05.703Z,gandy-1.jpg,spiral,12000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.08 + A18/f7/φ0.00 + A8/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0058.svg,exp-0058.png
59,2026-03-29T19:41:43.773Z,gandy-1.jpg,spiral,5000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.08 + A18/f7/φ0.00 + A8/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0059.svg,exp-0059.png
60,2026-03-29T19:43:04.381Z,gandy-1.jpg,spiral,5000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.08 + A4/f7/φ0.00 + A2/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0060.svg,exp-0060.png
61,2026-03-29T19:43:45.890Z,gandy-1.jpg,spiral,5000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.02 + A4/f7/φ0.00 + A2/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0061.svg,exp-0061.png
62,2026-03-29T19:45:15.732Z,gandy-1.jpg,spiral,5000,3,#d81b60;#1565c0;#ff6f00,0.65,20,spiral: g=0.02 + A0.3/f7/φ0.00 + A0.1/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0062.svg,exp-0062.png
63,2026-03-29T19:50:34.908Z,gandy-1.jpg,spiral,5000,3,#d81b60;#1565c0;#ff6f00,0.7,20,spiral: g=0.15 + A0.5/f7/φ0.00 + A0.2/f2.23606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0063.svg,exp-0063.png
64,2026-03-29T19:52:32.491Z,gandy-1.jpg,spiral,8000,3,#d81b60;#1565c0;#ff6f00,0.7,20,spiral: g=0.6 + A8/f0.07/φ0.00 + A3/f0.223606797749979/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0064.svg,exp-0064.png
65,2026-03-29T19:53:51.009Z,gandy-1.jpg,spiral,10000,4,#d81b60;#1565c0;#ff6f00;#2e7d32,0.7,20,spiral: g=0.08 + A50/f0.018/φ0.00 + A5/f0.13/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0065.svg,exp-0065.png
66,2026-03-29T19:54:46.049Z,gandy-1.jpg,spiral,15000,4,#d81b60;#1565c0;#ff6f00;#2e7d32,0.7,20,spiral: g=0.08 + A50/f0.018/φ0.00 + A5/f0.13/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0066.svg,exp-0066.png
67,2026-03-29T19:57:07.749Z,gandy-1.jpg,spiral,15000,1,#1565c0,0.7,20,spiral: g=0.05 + A15/f0.018/φ0.00 + A3/f0.13/φ0.00,—,0,0.02,0.5,1200,1200,#faf9f6,,exp-0067.svg,exp-0067.png
68,2026-03-29T20:01:30.741Z,gandy-1.jpg,spiral,20000,1,#1a1a2e,0.5,20,spiral: g=0.25 + A20/f0.01/φ-1.57 + A4/f0.07/φ0.00,—,0,0.02,0.3,1200,1200,#faf9f6,,exp-0068.svg,exp-0068.png
69,2026-03-29T20:02:35.570Z,gandy-1.jpg,epicyclic,40000,1,#1a1a2e,0.6,20,epicyclic: ω1/R250/φ0.00 → ω11/R180/φ0.00,—,50000,0.015,0.3,1200,1200,#faf9f6,,exp-0069.svg,exp-0069.png
70,2026-03-29T20:07:20.227Z,gandy-1.jpg,spiral,20000,1,#1565c0,0.6,20,spiral: g=0.04 + A35/f0.008/φ-1.57 + A5/f0.05/φ0.00,—,0,0.02,0.4,1200,1200,#faf9f6,,exp-0070.svg,exp-0070.png
71,2026-03-29T20:08:54.402Z,gandy-1.jpg,spiral,20000,1,#1565c0,0.6,20,spiral: g=0.04 + A30/f0.004/φ-1.57 + A4/f0.03/φ0.00,—,0,0.02,0.4,1200,1200,#faf9f6,,exp-0071.svg,exp-0071.png
72,2026-03-29T20:14:37.730Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0.002 + A50/f0.00065/φ0.00 + A3/f0.008/φ0.00,—,0,0.02,0.25,1200,1200,#1c1c1e,,exp-0072.svg,exp-0072.png
73,2026-03-29T20:23:05.001Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0.002 + A50/f0.000654/φ0.00,—,0,0.02,0.25,1200,1200,#1c1c1e,trefoil lobe: removed 2nd wobble for smoother swell,exp-0073.svg,exp-0073.png
74,2026-03-29T20:27:03.229Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0 + ,—,0,0.02,0.25,1200,1200,#1c1c1e,"trefoil lobe: smooth envelope 8→90→8, cosine interp",exp-0074.svg,exp-0074.png
75,2026-03-29T20:29:06.623Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0 + ,—,0,0.02,0.25,1200,1200,#1c1c1e,"trefoil lobe: much fatter 15→220→15, spinSpeed 2 for fewer loops",exp-0075.svg,exp-0075.png
76,2026-03-29T20:33:25.323Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0 + ,—,0,0.02,0.25,1200,1200,#1c1c1e,"trefoil lobe: slower orbit 0.004, orbit radius envelope 200→350→200 pushes fat part outward",exp-0076.svg,exp-0076.png
77,2026-03-29T20:35:17.159Z,IMG_3504.webp,spiral,30000,1,#dde8f0,0.7,20,spiral: g=0 + ,—,0,0.02,0.25,1200,1200,#1c1c1e,"trefoil lobe: orbit 0.003, cx=-100 recenter, radius 150→350→150",exp-0077.svg,exp-0077.png
